Year,Round,Region Number,Region Name,Seed 1,Score 1,Team 1,Team 2,Score 2,Seed 2
1996,3,4,West,6,75,Auburn,Penn St,69,2
1996,4,4,West,1,71,Stanford,Auburn,57,6
1996,5,0,National,1,88,Tennessee,Connecticut,83,1
1996,5,0,National,2,86,Georgia,Stanford,76,1
1996,6,0,National,1,83,Tennessee,Georgia,65,2
1997,1,1,East,1,78,North Carolina,Harvard,53,16
1997,1,1,East,8,75,Michigan St,Portland,70,9
1997,1,1,East,5,61,George Washington,Northwestern,46,12
1997,1,1,East,4,72,Tulane,Santa Barbara,69,13
1997,1,1,East,6,93,Notre Dame,Memphis,62,11
1997,1,1,East,3,66,Texas,Southwest Texas St,38,14
1997,1,1,East,7,70,St Josephs,Kansas St,52,10
1997,1,1,East,2,94,Alabama,St Francis,50,15
1997,2,1,East,1,81,North Carolina,Michigan St,71,8
1997,2,1,East,5,81,George Washington,Tulane,67,4
1997,2,1,East,6,86,Notre Dame,Texas,83,3
1997,2,1,East,7,52,St Josephs,Alabama,61,2
1997,3,1,East,1,46,North Carolina,George Washington,55,5
1997,3,1,East,6,87,Notre Dame,Alabama,71,2
1997,4,1,East,5,52,George Washington,Notre Dame,62,6
1997,1,2,Mideast,1,102,Old Dominion,Liberty,52,16
1997,1,2,Mideast,8,74,Purdue,Maryland,48,9
1997,1,2,Mideast,5,66,Clemson,Marquette,70,12
1997,1,2,Mideast,4,88,LSU,Maine,79,13
1997,1,2,Mideast,6,68,USC,San Francisco,55,11
1997,1,2,Mideast,3,92,Florida,Florida International,68,14
1997,1,2,Mideast,7,68,Auburn,Louisville,65,10
1997,1,2,Mideast,2,94,Louisiana Tech,St Peters,50,15
1997,2,2,Mideast,1,69,Old Dominion,Purdue,65,8
1997,2,2,Mideast,12,58,Marquette,LSU,71,4
1997,2,2,Mideast,6,78,USC,Florida,92,3
1997,2,2,Mideast,7,48,Auburn,Louisiana Tech,74,2
1997,3,2,Mideast,1,62,Old Dominion,LSU,49,4
1997,3,2,Mideast,3,71,Florida,Louisiana Tech,57,2
1997,4,2,Mideast,1,53,Old Dominion,Florida,51,3
1997,1,3,Midwest,1,103,Connecticut,Lehigh,35,16
1997,1,3,Midwest,8,50,NC State,Iowa,56,9
1997,1,3,Midwest,5,70,Duke,DePaul,56,12
1997,1,3,Midwest,4,79,Illinois,Drake,62,13
1997,1,3,Midwest,6,80,Oregon,San Diego St,68,11
1997,1,3,Midwest,3,91,Tennessee,Grambling,54,14
1997,1,3,Midwest,7,79,Stephen F Austin,Toledo,66,10
